[1/30/2018, 3:23:42 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:05 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//root] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:14 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//root/王宇] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:17 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//root/王宇] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:18 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//root/王宇/破解游戏] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:19 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//root/王宇/破解游戏/卡牌游戏] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:24 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//root/王宇/破解游戏] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:25 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//root/王宇/破解游戏/卡牌游戏] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:36 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/shellOperate?sourcePath=//root/王宇/破解游戏/卡牌游戏/com.kidbear.lordcastle.mi.apk&targetPath=//root/王宇/破解游戏/卡牌游戏/王者守卫.apk&doType=4] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:37 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//root/王宇/破解游戏/卡牌游戏] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:42 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//root/内涵段子] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:44 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//root/内涵段子/特殊视频] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:49 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//root/安卓app] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:24:56 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:25:00 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/root] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:25:02 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/root/王宇] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:25:06 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:25:07 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/临时文件目录/王宇] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:25:09 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/临时文件目录/王宇/小霸王] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[1/30/2018, 3:25:11 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/临时文件目录/王宇/公司] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
