[7/20/2017, 9:15:26 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 9:15:27 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 9:15:30 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//home] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 9:15:30 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//home] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 9:16:01 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 9:16:06 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 9:16:09 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 9:16:11 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 9:16:12 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 9:16:13 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 9:16:16 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/js] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 9:16:17 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/js/js_util] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 9:16:19 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/js/js_util/timu] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 10:07:52 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/js/js_util/timu] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 10:09:08 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/js/js_util/timu] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 2:28:35 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 2:28:47 PM] [::ffff:210.13.80.220] [POST] [http://123.1.151.52:3010/searchFile] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 2:29:32 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//home] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 2:31:07 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//home/node] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 2:31:09 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//home/node/project] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 2:31:10 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//home/node/project/ExpressFileManager] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 2:31:13 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//home/node/project/ExpressFileManager/public] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 2:31:36 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//home/node/project/ExpressFileManager/public/images] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 2:31:37 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filedownload?path=//home/node/project/ExpressFileManager/public/images/file.png] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/20/2017, 2:31:37 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filedownload?path=//home/node/project/ExpressFileManager/public/images/folder16x16.png] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36][7/20/2017, 2:31:37 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filedownload?path=//home/node/project/ExpressFileManager/public/images/folder.png] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]

