[7/10/2017, 1:38:29 PM] [::ffff:210.13.80.217] [GET] [http://123.1.151.52:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/10/2017, 1:38:34 PM] [::ffff:210.13.80.217] [GET] [http://123.1.151.52:3010/filelist?path=//var] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/10/2017, 1:38:36 PM] [::ffff:210.13.80.217] [GET] [http://123.1.151.52:3010/filelist?path=//var/www] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/10/2017, 1:38:37 PM] [::ffff:210.13.80.217] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/10/2017, 1:38:39 PM] [::ffff:210.13.80.217] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/10/2017, 1:38:40 PM] [::ffff:210.13.80.217] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/10/2017, 1:38:42 PM] [::ffff:210.13.80.217] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/function] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/10/2017, 1:38:43 PM] [::ffff:210.13.80.217] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/function/wy] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/10/2017, 1:38:45 PM] [::ffff:210.13.80.217] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/function/wy/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/10/2017, 1:38:49 PM] [::ffff:210.13.80.217] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/function/wy/index/util] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/10/2017, 1:38:52 PM] [::ffff:210.13.80.217] [GET] [http://123.1.151.52:3010/getFolderAll?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/function/wy/index/util] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
