[9/5/2017, 8:38:32 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 8:38:33 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 8:38:35 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/fileView?path=//临时文件目录/笔记.txt] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 8:38:35 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/fileViewHtml?filepath=//临时文件目录/笔记.txt] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:12:23 AM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://101.132.76.193:3010/saveFileHtml] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:12:48 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/shellOperate?sourcePath=//临时文件目录/笔记.txt&targetPath=//临时文件目录/centos-mysql5.5安装教程详解&doType=4] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:12:50 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:13:13 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/shellOperate?sourcePath=//临时文件目录/centos-mysql5.5安装教程详解&targetPath=//临时文件目录/centos-mysql5.5安装教程详解.txt&doType=4] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:13:15 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:36:41 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/usr/local/lib] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:36:57 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/shellOperate?sourcePath=/usr/local/lib/jdk1.8.0_121.zip&targetPath=undefined&doType=7] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:37:09 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/usr/local/lib] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:38:47 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/usr/local/lib/jdk1.8.0_121] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:38:54 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/shellOperate?sourcePath=/usr/local/lib/jdk1.8.0_121/jdk1.8.0_121&doType=1] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:38:55 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/usr/local/lib/jdk1.8.0_121] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:38:57 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/usr/local/lib/jdk1.8.0_121] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:42:09 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:42:10 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:42:13 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/fileView?path=/临时文件目录/centos-mysql5.5安装教程详解.txt] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:42:13 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/fileViewHtml?filepath=/临时文件目录/centos-mysql5.5安装教程详解.txt] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:51:48 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/home] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[9/5/2017, 9:51:52 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/shellOperate?sourcePath=/home/mysql-5.5.17&doType=1] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
