[6/14/2017, 10:37:39 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/14/2017, 11:13:01 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/14/2017, 11:13:05 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/14/2017, 11:13:07 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/14/2017, 11:13:09 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/14/2017, 11:13:13 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/14/2017, 11:13:14 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/14/2017, 11:13:16 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/js] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/14/2017, 11:13:21 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/fileView?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/js/wtianyu.js] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/14/2017, 12:59:16 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/14/2017, 12:59:25 PM] [::ffff:210.13.80.220] [POST] [http://123.1.151.52:3010/searchFile] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
