[6/21/2017, 9:13:35 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 9:14:02 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//etc] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 9:14:28 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/fileView?path=//etc/crontab] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 9:14:58 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 9:15:02 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 9:15:07 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool/cron] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 9:15:09 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool/cron/crontabs] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 9:15:11 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/fileView?path=//var/spool/cron/crontabs/root] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 9:15:29 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool/cron] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 9:16:27 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:16:47 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/getFolderAll?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:19:28 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:19:34 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/getFolderAll?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:20:41 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:20:44 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/getFolderAll?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:21:21 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:21:23 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/getFolderAll?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:23:58 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:24:02 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:24:05 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/getFolderAll?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:24:38 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:24:42 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/getFolderAll?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:26:17 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:26:21 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/spool/exim4] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/21/2017, 10:26:24 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/getFolderAll?path=//var/spool/exim4] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
