[6/19/2017, 10:22:48 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:23:04 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//root] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:23:15 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//root] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:23:36 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/getFolderAll?path=//root] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:23:45 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/shellOperate?sourcePath=//root/PsExpress&targetPath=/临时文件目录&doType=2] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:23:47 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//root] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:23:51 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:23:52 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:23:53 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filedownload?path=//临时文件目录/loading_img.gif] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:24:05 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/shellOperate?sourcePath=//临时文件目录/PsExpress&targetPath=undefined&doType=8] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:24:06 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:24:09 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filedownload?path=//临时文件目录/loading_img.gif] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:24:14 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filedownload?path=//临时文件目录/undefined] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:24:54 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:24:55 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filedownload?path=//临时文件目录/loading_img.gif] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:24:59 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filedownload?path=//临时文件目录/PsExpress.zip] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:34:12 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/shellOperate?sourcePath=//临时文件目录/PsExpress&doType=1] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:34:13 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:34:13 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filedownload?path=//临时文件目录/loading_img.gif] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:34:19 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/shellOperate?sourcePath=//临时文件目录/PsExpress.zip&doType=1] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:34:20 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:34:21 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filedownload?path=//临时文件目录/loading_img.gif] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:34:40 AM] [::ffff:210.13.80.220] [POST] [http://123.1.151.52:3010/uploadFile] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
[6/19/2017, 10:34:42 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36]
