[10/25/2017, 1:22:56 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=///home/java/项目] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:23:12 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/shellOperate?sourcePath=///home/java/项目/aaa&doType=1] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:23:13 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=///home/java/项目] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:23:17 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/getFolderAll?path=///home/java/项目] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:23:20 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:23:22 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//临时文件目录/王宇] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:23:24 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=///临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:23:28 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=///临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:23:31 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/fileView?path=///临时文件目录/hello.txt] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:24:54 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:24:55 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//usr] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:24:57 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//usr/wtiy] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:24:59 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//usr/wtiy/al.wtianyu.com] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:25:02 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/filelist?path=//usr/wtiy/al.wtianyu.com/js] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:25:06 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/getFolderAll?path=//usr/wtiy/al.wtianyu.com/js] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/25/2017, 1:25:19 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://101.132.76.193:3010/shellOperate?sourcePath=//usr/wtiy/al.wtianyu.com/js/jquery-3.2.1.js&targetPath=/home/node/ExpressFileManager/public/javascripts&doType=3] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
